净值日期	基金代码	基金名称	最新单位净值	最新累计净值	上期单位净值	上期累计净值	当日增长值	当日增长率
2018-10-23	040040	华安纯债债券 A	1.0886	1.2763	1.0883	1.2760	0.0003	0.0300%
2018-10-22	040040	华安纯债债券 A	1.0883	1.2760	1.0882	1.2759	0.0001	0.0092%
2018-10-19	040040	华安纯债债券 A	1.0882	1.2759	1.0882	1.2759	0.0000	0.0000%
2018-10-18	040040	华安纯债债券 A	1.0882	1.2759	1.0876	1.2753	0.0006	0.0552%
2018-10-17	040040	华安纯债债券 A	1.0876	1.2753	1.0875	1.2752	0.0001	0.0092%
2018-10-16	040040	华安纯债债券 A	1.0875	1.2752	1.0873	1.2750	0.0002	0.0184%
2018-10-15	040040	华安纯债债券 A	1.0873	1.2750	1.0869	1.2746	0.0004	0.0368%
2018-10-12	040040	华安纯债债券 A	1.0869	1.2746	1.0865	1.2742	0.0004	0.0368%
2018-10-11	040040	华安纯债债券 A	1.0865	1.2742	1.0859	1.2736	0.0006	0.0553%
2018-10-10	040040	华安纯债债券 A	1.0859	1.2736	1.0856	1.2733	0.0003	0.0276%
2018-10-09	040040	华安纯债债券 A	1.0856	1.2733	1.0853	1.2730	0.0003	0.0276%
2018-10-08	040040	华安纯债债券 A	1.0853	1.2730	1.0840	1.2717	0.0013	0.1199%
2018-09-28	040040	华安纯债债券 A	1.0840	1.2717	1.0837	1.2714	0.0003	0.0277%
2018-09-27	040040	华安纯债债券 A	1.0837	1.2714	1.0831	1.2708	0.0006	0.0554%
2018-09-26	040040	华安纯债债券 A	1.0831	1.2708	1.0827	1.2704	0.0004	0.0369%
2018-09-25	040040	华安纯债债券 A	1.0827	1.2704	1.0816	1.2693	0.0011	0.1017%
2018-09-21	040040	华安纯债债券 A	1.0816	1.2693	1.0815	1.2692	0.0001	0.0092%
2018-09-20	040040	华安纯债债券 A	1.0815	1.2692	1.0814	1.2691	0.0001	0.0092%
2018-09-19	040040	华安纯债债券 A	1.0814	1.2691	1.0813	1.2690	0.0001	0.0092%
