数据库：月度数据
时间：最近36个月
指标,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2016年12月,2016年11月,2016年10月,2016年9月,2016年8月,2016年7月,2016年6月,2016年5月,2016年4月,2016年3月,2016年2月,2015年12月,2015年11月,2015年10月,2015年9月,2015年8月,2015年7月,2015年6月,2015年5月,2015年4月,2015年3月,2015年2月,2014年12月,2014年11月,2014年10月,2014年9月,2014年8月
房地产投资_累计值(亿元),59761.08,50610.22,37594.68,27731.58,19291.92,9854.34,102581.00,93387.08,83974.61,74597.59,64386.74,55360.50,46630.52,34564.11,25375.64,17676.62,9051.79,95978.85,87702.38,78800.74,70535.07,61062.54,52562.22,43954.95,32291.84,23669.04,16650.64,8786.36,95035.61,86601.36,77220.27,68751.21,58974.51
房地产投资_累计增长(%),7.9,8.5,8.8,9.3,9.1,8.9,6.9,6.5,6.6,5.8,5.4,5.3,6.1,7.0,7.2,6.2,3.0,1.0,1.3,2.0,2.6,3.5,4.3,4.6,5.1,6.0,8.5,10.4,10.5,11.9,12.4,12.5,13.2
房地产配套工程投资_累计值(亿元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
房地产配套工程投资_累计增长(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,-100.0,-100.0,-100.0,-100.0
房地产住宅投资_累计值(亿元),40683.03,34318.26,25422.94,18671.32,12981.02,6571.07,68704.00,62588.23,56293.72,49930.85,43076.06,36981.32,31149.27,23118.18,16887.37,11669.52,6027.52,64595.24,59069.18,53149.70,47505.17,41097.94,35380.18,29505.67,21644.55,15870.14,11156.22,5921.94,64352.15,58675.54,52464.21,46724.74,40159.32
房地产住宅投资_累计增长(%),10.0,10.2,10.0,10.6,11.2,9.0,6.4,6.0,5.9,5.1,4.8,4.5,5.6,6.8,6.4,4.6,1.8,0.4,0.7,1.3,1.7,2.3,3.0,2.8,2.9,3.7,5.9,9.1,9.2,10.5,11.1,11.3,12.4
90平方米及以下住房投资_累计值(亿元),12607.43,10652.65,7909.19,5838.74,4104.78,2067.84,24772.18,22633.64,20480.07,18248.21,15779.87,13655.23,11543.09,8543.83,6203.61,4258.77,2096.12,24646.12,22593.26,20469.07,18392.04,15967.84,13782.08,11532.73,8457.37,6173.15,4229.65,2100.10,20334.91,18585.80,16719.36,14829.41,12778.40
90平方米及以下住房投资_累计增长(%),-7.7,-7.7,-7.4,-5.9,-3.6,-1.3,0.5,0.2,0.1,-0.8,-1.2,-0.9,0.1,1.0,0.5,0.7,-0.2,21.2,21.6,22.4,24.0,25.0,26.3,26.6,28.5,29.2,28.7,25.6,4.6,6.1,7.1,7.0,8.2
144平方米以上住房投资_累计值(亿元),7455.07,6277.44,4651.60,3461.91,2433.41,1257.16,12540.40,11364.76,10193.68,8992.77,7748.49,6624.80,5526.83,4103.45,3013.68,2074.87,1112.56,11030.23,10138.53,9144.74,8180.31,7144.38,6232.68,5261.00,3927.50,2913.61,2086.18,1164.85,9643.12,8791.57,7933.68,7131.82,6224.14
144平方米以上住房投资_累计增长(%),12.5,13.6,13.4,14.9,17.3,13.0,13.7,12.1,11.5,9.9,8.5,6.3,5.1,4.5,3.4,-0.5,-4.5,14.4,15.3,15.3,14.7,14.8,16.3,17.1,15.2,12.5,14.2,14.0,-7.8,-7.0,-7.0,-6.6,-4.7
别墅、高档公寓投资_累计值(亿元),2181.04,1843.28,1392.71,1060.17,763.71,410.62,3478.74,3171.35,2846.64,2526.09,2178.42,1898.15,1596.45,1242.12,929.95,689.63,397.46,3481.37,3167.24,2878.67,2566.40,2212.50,1949.67,1667.49,1268.62,937.43,695.55,404.55,3844.72,3509.89,3098.76,2801.97,2452.68
别墅、高档公寓投资_累计增长(%),14.9,15.5,12.1,14.0,10.7,3.3,-0.1,0.1,-1.1,-1.6,-1.5,-2.6,-4.3,-2.1,-0.8,-0.9,-1.8,-9.5,-9.8,-7.1,-8.4,-9.8,-6.7,-4.2,-3.0,-6.8,-5.7,-0.8,5.7,6.7,5.6,7.4,9.8
房地产办公楼投资_累计值(亿元),3708.26,3159.29,2370.57,1735.68,1194.22,654.08,6533.00,5933.75,5308.36,4721.73,4085.65,3541.13,3015.78,2256.01,1716.67,1241.97,658.05,6209.74,5651.58,5000.14,4453.11,3864.67,3264.09,2738.62,1999.37,1487.63,1087.93,566.90,5641.19,5124.20,4516.57,4007.77,3383.74
房地产办公楼投资_累计增长(%),4.7,4.8,5.1,1.1,-3.8,-0.6,5.2,5.0,6.2,6.0,5.7,8.5,10.1,12.8,15.4,14.2,16.1,10.1,10.3,10.7,11.1,14.2,13.5,14.4,12.8,13.6,20.6,14.9,21.3,24.6,23.8,22.8,18.7
房地产商业营业用房投资_累计值(亿元),8834.45,7589.35,5677.96,4221.78,2934.85,1517.12,15838.00,14377.39,12941.15,11542.78,9954.30,8573.19,7229.19,5361.48,3914.94,2712.21,1356.45,14607.49,13354.47,12009.58,10752.48,9290.59,8020.67,6705.31,4954.98,3638.42,2531.58,1321.20,14346.25,13099.52,11686.88,10341.54,8812.65
房地产商业营业用房投资_累计增长(%),3.0,5.0,5.9,7.8,8.2,11.8,8.4,7.7,7.8,7.3,7.1,6.9,7.8,8.2,7.6,7.1,2.7,1.8,1.9,2.8,4.0,5.4,7.6,8.6,11.9,13.9,17.2,18.2,20.1,22.0,23.4,22.8,22.9
其它房地产投资_累计值(亿元),6535.34,5543.31,4123.21,3102.80,2181.83,1112.06,11506.61,10487.70,9431.39,8402.23,7270.73,6264.86,5236.28,3828.44,2856.65,2052.92,1009.76,10566.37,9627.16,8641.32,7824.32,6809.34,5897.28,5005.35,3692.93,2672.86,1874.91,976.32,10696.02,9702.11,8552.61,7677.17,6618.80
其它房地产投资_累计增长(%),4.3,5.9,7.7,8.6,6.3,10.1,8.9,8.9,9.1,7.4,6.8,6.2,4.6,3.7,6.9,9.5,3.4,-1.2,-0.8,1.0,1.9,2.9,3.7,5.1,5.6,6.1,7.4,6.3,2.2,2.7,2.4,3.0,4.0
房地产开发建筑工程投资_累计值(亿元),38623.80,32902.89,24650.91,18311.79,12902.43,6753.85,66793.39,60838.92,54793.35,48815.70,42179.21,36393.41,30872.93,23122.78,17089.61,11955.99,6259.79,63173.28,57634.98,51868.47,46462.71,40248.81,34669.82,29153.23,21585.88,15925.17,11323.77,6244.51,63115.16,57489.10,51670.44,46005.86,39628.48
房地产开发建筑工程投资_累计增长(%),6.1,6.6,6.6,7.2,7.9,7.9,5.7,5.6,5.6,5.1,4.8,5.0,5.9,7.1,7.3,5.6,0.2,0.1,0.3,0.4,1.0,1.6,1.8,2.2,2.2,3.2,5.4,8.8,9.3,10.1,11.2,11.8,12.8
房地产开发安装工程投资_累计值(亿元),5453.49,4666.52,3493.50,2574.47,1816.62,926.58,9508.80,8668.06,7759.47,6897.81,5966.77,5119.43,4301.63,3205.79,2367.11,1655.38,834.03,8022.29,7288.03,6494.37,5770.81,4950.96,4236.19,3538.28,2596.82,1924.58,1361.54,721.17,7445.95,6772.39,6048.90,5370.72,4612.46
房地产开发安装工程投资_累计增长(%),6.5,8.5,9.0,8.8,9.7,11.1,18.5,18.9,19.5,19.5,20.5,20.8,21.6,23.5,23.0,21.6,15.7,7.7,7.6,7.4,7.4,7.3,7.1,6.8,7.6,8.2,11.9,16.2,21.0,21.8,22.3,22.9,23.1
房地产设备工器具购置投资_累计值(亿元),860.04,716.49,523.47,384.26,263.45,132.08,1461.55,1329.01,1193.99,1056.18,928.29,817.02,689.66,512.34,381.41,264.34,129.11,1211.52,1103.85,982.13,877.87,759.78,652.99,554.69,413.75,310.78,209.63,110.75,1306.91,1179.28,1058.57,944.12,803.79
房地产设备工器具购置投资_累计增长(%),5.3,3.9,2.2,0.7,-0.3,2.3,20.6,20.4,21.6,20.3,22.2,25.1,24.3,23.8,22.7,26.1,16.6,-7.3,-6.4,-7.2,-7.0,-5.5,-5.1,-4.7,-2.3,-2.7,-6.6,-9.3,4.6,4.7,5.5,5.7,5.2
房地产其它费用投资_累计值(亿元),14823.74,12324.33,8926.80,6461.06,4309.42,2041.83,24816.87,22551.08,20227.79,17827.90,15312.46,13030.65,10766.31,7723.20,5537.50,3800.90,1828.85,23571.75,21675.52,19455.77,17423.68,15102.99,13003.22,10708.75,7695.39,5508.51,3755.70,1709.93,23167.59,21160.59,18442.37,16430.51,13929.78
房地产其它费用投资_累计增长(%),13.8,14.5,15.6,16.7,13.4,11.6,5.3,4.0,4.0,2.3,1.4,0.2,0.5,0.4,0.5,1.2,7.0,1.7,2.4,5.5,6.0,8.4,11.2,11.7,13.6,15.1,19.0,16.2,11.1,14.4,13.4,11.8,11.6
房地产土地购置费_累计值(亿元),11232.45,9308.60,6733.42,4807.41,3113.62,1463.63,18778.68,17165.82,15337.79,13422.02,11489.29,9676.76,7920.14,5665.06,3971.23,2671.23,1270.11,17675.44,16470.74,14767.45,13236.68,11501.65,9845.54,8008.07,5681.62,3964.53,2640.66,1136.90,17458.53,16076.38,13879.07,12371.03,10455.78
房地产土地购置费_累计增长(%),16.1,17.5,18.9,21.1,16.6,15.2,6.2,4.2,3.9,1.4,-0.1,-1.7,-1.1,-0.3,0.2,1.2,11.7,1.2,2.5,6.4,7.0,10.0,14.0,15.1,18.4,22.4,28.7,33.3,29.3,34.4,32.0,30.5,30.9
房地产开发计划总投资_累计值(亿元),597900.63,586159.73,569543.80,558811.20,546872.88,538937.53,587857.24,580253.01,569312.10,559222.40,549589.36,539663.22,528786.44,516068.36,504591.21,495339.33,485887.94,536853.75,531759.55,521541.11,513885.80,505090.80,495957.27,485284.76,472361.55,461728.92,454033.43,448430.19,493066.50,486760.05,475783.61,464686.69,454225.23
房地产开发计划总投资_累计增长(%),10.8,10.8,10.4,10.7,10.4,10.9,9.5,9.1,9.2,8.8,8.8,8.8,9.0,9.3,9.3,9.1,8.4,8.9,9.2,9.6,10.6,11.2,12.2,12.9,13.4,13.7,14.3,14.2,14.4,15.6,18.4,17.1,17.2
房地产开发新增固定资产投资_累计值(亿元),18507.03,16431.75,13429.22,11504.12,9728.71,7221.58,41079.58,29991.47,25553.20,22522.17,19987.63,18088.55,15616.64,12718.15,10336.18,8482.59,6202.36,40937.81,29956.02,25799.31,21878.60,18164.97,16259.80,14325.13,11640.79,9487.85,7886.77,5253.05,41251.03,29408.19,25364.25,22860.54,20317.61
房地产开发新增固定资产投资_累计增长(%),2.3,5.2,5.6,11.3,14.7,16.4,0.3,0.1,-1.0,4.6,10.0,11.2,9.0,9.3,8.9,7.6,18.1,-0.8,1.9,1.7,-4.3,-10.6,-8.4,-8.8,-6.6,-0.9,2.0,7.7,10.3,14.1,13.8,14.0,14.6
数据来源：国家统计局
