数据库：月度数据
时间：最近36个月
指标,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月,2016年12月,2016年11月,2016年10月,2016年9月,2016年8月,2016年7月,2016年6月,2016年5月,2016年4月,2016年3月,2016年2月,2016年1月,2015年12月,2015年11月,2015年10月,2015年9月,2015年8月,2015年7月,2015年6月,2015年5月,2015年4月,2015年3月,2015年2月,2015年1月,2014年12月,2014年11月,2014年10月,2014年9月,2014年8月
进出口总值_当期值(千美元),350429225,341234306,321944001,337284922,249305614,314161658,378016588,342863237,306969670,327018366,329135339,315056873,312459054,312143222,299958011,291769733,219697006,291084568,387977840,339181636,323148187,350767303,333496775,347168095,337412104,321247714,318527152,286055898,277762096,340484185,405413212,368848960,368327943,396411570,367095251
进出口总值_同比增长(%),13.8,11.3,9.7,18.2,15.8,11.4,-2.2,2.9,-4.9,-6.6,-1.1,-7.9,-6.4,-2.6,-5.8,2.0,-20.8,-14.3,-4.1,-7.6,-12.1,-11.4,-9.1,-8.2,-1.2,-9.3,-11.1,-13.8,10.8,-10.9,4.0,-0.5,8.4,11.3,4.0
进出口总值_累计值(千美元),1909549443,1562910498,1222091595,899937929,563498874,314161658,3684925029,3305813434,2972351156,2677312895,2350968216,2024994704,1711368636,1410121963,1101897043,802136292,510720459,291084568,3956900729,3564146225,3225270628,2904138616,2556161909,2224447127,1880493868,1543537962,1222507012,904165825,618170523,340484185,4303036849,3898254223,3530573594,3162575488,2766395743
进出口总值_累计增长(%),13.0,13.0,13.6,15.0,13.3,11.4,-6.8,-7.3,-7.9,-7.8,-7.9,-8.8,-8.8,-8.6,-9.9,-11.3,-17.3,-14.5,-8.0,-8.5,-8.6,-8.1,-7.5,-7.2,-6.9,-8.0,-7.6,-6.3,-2.3,-10.9,3.4,3.4,3.8,3.3,2.3
出口总值_当期值(千美元),196590894,191014115,179988316,180600668,120078967,182752414,209417479,193546446,177867030,184498014,190592312,182642116,180183971,181059364,172757807,160813329,126144745,177185706,223683502,196463224,192395789,205554591,196868247,195096520,191975441,190057568,176330816,144568557,169190546,200258035,227512544,211662669,206866715,213687462,208465863
出口总值_同比增长(%),11.3,8.7,8.0,16.4,-1.3,7.9,-6.1,0.1,-7.3,-10.0,-2.8,-4.4,-4.8,-4.1,-1.8,11.5,-25.4,-11.2,-1.4,-6.8,-6.9,-3.7,-5.5,-8.3,2.8,-2.5,-6.4,-15.0,48.3,-3.3,9.7,4.7,11.6,15.3,9.4
出口总值_累计值(千美元),1047272560,853330596,662699684,482755392,302812328,182752414,2097444193,1888944599,1702552137,1536871130,1352930462,1165014972,984229001,813807797,636469408,463931114,303307326,177185706,2274949842,2051406446,1855108340,1664115321,1460525784,1264823230,1071871351,880069405,690156552,513932580,369410752,200258035,2342746552,2115366752,1903840528,1697088751,1483463721
出口总值_累计增长(%),8.5,8.2,8.1,8.2,4.0,7.9,-7.7,-7.9,-8.2,-7.5,-7.1,-7.6,-7.8,-7.3,-7.6,-9.6,-17.8,-11.4,-2.9,-3.0,-2.5,-1.9,-1.5,-0.8,0.9,0.6,1.6,4.7,15.0,-3.3,6.1,5.7,5.8,5.1,3.8
进口总值_当期值(千美元),153838330,150220190,141955685,156684253,129226647,131409245,168599109,149316792,129102640,142520352,138543027,132414757,132275084,131083858,127200204,130956404,93552261,113898862,164294338,142718411,130752399,145212712,136628528,152071574,145436663,131190146,142196335,141487341,108571550,140226150,177900669,157186291,161461228,182724108,158629387
进口总值_同比增长(%),17.2,14.8,11.9,20.3,38.1,16.7,3.1,6.7,-1.4,-1.9,1.5,-12.5,-8.4,-0.4,-10.9,-7.6,-13.8,-18.8,-7.6,-8.7,-18.8,-20.4,-13.8,-8.1,-6.1,-17.6,-16.2,-12.7,-20.5,-19.9,-2.4,-6.7,4.6,7.0,-2.4
进口总值_累计值(千美元),862276883,709579902,559391911,417182537,260686545,131409245,1587480835,1416868835,1269799019,1140441765,998037754,859979731,727139635,596314166,465427635,338205177,207413134,113898862,1681950887,1512739779,1370162288,1240023295,1095636125,959623896,808622517,663468557,532350460,390233246,248759770,140226150,1960290297,1782887471,1626733066,1465486737,1282932022
进口总值_累计增长(%),18.9,19.5,20.8,24.0,26.4,16.7,-5.5,-6.5,-7.5,-8.2,-9.0,-10.5,-10.2,-10.3,-12.8,-13.5,-16.7,-19.0,-14.2,-15.1,-15.7,-15.3,-14.5,-14.6,-15.6,-17.4,-17.3,-17.6,-20.2,-19.9,0.4,0.8,1.6,1.3,0.6
进出口差额_当期值(千美元),42752564,40793925,38032631,23916415,-9147680,51343169,40818370,44229654,48764390,41977662,52049285,50227359,47908887,49979506,45557603,29856925,32592484,63286844,59389164,53744813,61643390,60341879,60239719,43024946,46538778,59488009,34134481,3081216,60618996,60031885,49613263,54476378,45405487,30942678,49835502
进出口差额_累计值(千美元),184995676,143750694,103307773,65572855,42125783,51343169,509963358,472075764,432753118,396429365,354892708,305035241,257089366,217497631,171041773,125725937,95894192,63286844,592998955,538666667,484946052,424092026,364889659,305199334,263248834,217258162,157806092,123699334,120650982,60031885,382457643,332479281,277107462,231581338,200530725
注：进出口数据来源于海关总署。1978年为外贸业务统计数，1980年起为海关进出口统计数。
数据来源：国家统计局
