数据库：年度数据
时间：最近20年
指标,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年
城镇单位就业人员平均工资(元),62029,56360,51483,46769,41799,36539,32244,28898,24721,20856,18200,15920,13969,12373,10834,9333,,,,
农、林、牧、渔业城镇单位就业人员平均工资(元),31947,28356,25820,22687,19469,16717,14356,12560,10847,9269,8207,7497,6884,,,,,,,
采矿业城镇单位就业人员平均工资(元),59404,61677,60138,56946,52230,44196,38038,34233,28185,24125,20449,16774,13627,,,,,,,
制造业城镇单位就业人员平均工资(元),55324,51369,46431,41650,36665,30916,26810,24404,21144,18225,15934,14251,12671,,,,,,,
电力、燃气及水的生产和供应业城镇单位就业人员平均工资(元),78886,73339,67085,58202,52723,47309,41869,38515,33470,28424,24750,21543,18574,,,,,,,
建筑业城镇单位就业人员平均工资(元),48886,45804,42072,36483,32103,27529,24161,21223,18482,16164,14112,12578,11328,,,,,,,
交通运输、仓储和邮政业城镇单位就业人员平均工资(元),68822,63416,57993,53391,47078,40466,35315,32041,27903,24111,20911,18071,15753,,,,,,,
信息传输、计算机服务和软件业城镇单位就业人员平均工资(元),112042,100845,90915,80510,70918,64436,58154,54906,47700,43435,38799,33449,30897,,,,,,,
批发和零售业城镇单位就业人员平均工资(元),60328,55838,50308,46340,40654,33635,29139,25818,21074,17796,15256,13012,10894,,,,,,,
住宿和餐饮业城镇单位就业人员平均工资(元),40806,37264,34044,31267,27486,23382,20860,19321,17046,15236,13876,12618,11198,,,,,,,
金融业城镇单位就业人员平均工资(元),114777,108273,99653,89743,81109,70146,60398,53897,44011,35495,29229,24299,20780,,,,,,,
房地产业城镇单位就业人员平均工资(元),60244,55568,51048,46764,42837,35870,32242,30118,26085,22238,20253,18467,17085,,,,,,,
租赁和商务服务业城镇单位就业人员平均工资(元),72489,67131,62538,53162,46976,39566,35494,32915,27807,24510,21233,18723,17020,,,,,,,
科学研究、技术服务和地质勘查业城镇单位就业人员平均工资(元),89410,82259,76602,69254,64252,56376,50143,45512,38432,31644,27155,23351,20442,,,,,,,
水利、环境和公共设施管理业城镇单位就业人员平均工资(元),43528,39198,36123,32343,28868,25544,23159,21103,18383,15630,14322,12884,11774,,,,,,,
居民服务和其他服务业城镇单位就业人员平均工资(元),44802,41882,38429,35135,33169,28206,25172,22858,20370,18030,15747,13680,12665,,,,,,,
教育城镇单位就业人员平均工资(元),66592,56580,51950,47734,43194,38968,34543,29831,25908,20918,18259,16085,14189,,,,,,,
卫生、社会保障和社会福利业城镇单位就业人员平均工资(元),71624,63267,57979,52564,46206,40232,35662,32185,27892,23590,20808,18386,16185,,,,,,,
文化、体育和娱乐业城镇单位就业人员平均工资(元),72764,64375,59336,53558,47878,41428,37755,34158,30430,25847,22670,20522,17098,,,,,,,
公共管理和社会组织城镇单位就业人员平均工资(元),62323,53110,49259,46074,42062,38242,35326,32296,27731,22546,20234,17372,15355,,,,,,,
注：1995-2008年的城镇单位就业人员平均工资即为原来的城镇单位就业人员平均劳动报酬。
数据来源：国家统计局
