数据库：年度数据
时间：最近20年
指标,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年
其他单位就业人员平均工资(元),60906,56485,51453,46360,41323,35801,31350,28552,24271,21004,18362,16519,14843,13486,12437,11238
农、林、牧、渔业其他单位就业人员平均工资(元),38153,35689,34310,27612,23851,21359,19456,17400,14686,12677,,,,,,
采矿业其他单位就业人员平均工资(元),59729,62481,61475,57001,52703,44907,38640,34246,28291,24513,,,,,,
制造业其他单位就业人员平均工资(元),55162,51163,46297,41453,36360,30609,26617,24401,21210,18394,,,,,,
电力、燃气及水的生产和供应业其他单位就业人员平均工资(元),78327,72330,66489,58293,52377,47164,41931,38968,34314,29663,,,,,,
建筑业其他单位就业人员平均工资(元),49442,46367,42476,36476,32097,27522,24325,21767,18825,16780,,,,,,
交通运输、仓储和邮政业其他单位就业人员平均工资(元),68138,62749,57720,53592,48362,43176,37883,36041,30892,27578,,,,,,
信息传输、计算机服务和软件业其他单位就业人员平均工资(元),117076,105724,96618,90839,81005,74178,68067,65686,56392,53807,,,,,,
批发和零售业其他单位就业人员平均工资(元),60433,55971,50700,47882,42596,35109,30717,28358,23594,19959,,,,,,
住宿和餐饮业其他单位就业人员平均工资(元),40436,36830,33400,30827,27313,23505,21064,19800,17780,15922,,,,,,
金融业其他单位就业人员平均工资(元),123640,117537,109161,97706,88882,77445,67574,62044,51553,42687,,,,,,
房地产业其他单位就业人员平均工资(元),60976,56459,52052,47983,43183,37102,33311,31556,27004,23181,,,,,,
租赁和商务服务业其他单位就业人员平均工资(元),82287,78859,74632,65637,60406,50179,45078,43406,37443,34514,,,,,,
科学研究、技术服务和地质勘查业其他单位就业人员平均工资(元),100210,93884,87590,83362,76446,67716,61697,57827,48861,40707,,,,,,
水利、环境和公共设施管理业其他单位就业人员平均工资(元),49130,46682,43213,37466,33331,30217,27154,26869,23390,20388,,,,,,
居民服务和其他服务业其他单位就业人员平均工资(元),43131,40752,37738,33992,30287,25536,22877,20566,21014,17410,,,,,,
教育其他单位就业人员平均工资(元),55937,51494,47194,43473,38912,35282,32663,31211,27494,23099,,,,,,
卫生、社会保障和社会福利业其他单位就业人员平均工资(元),60027,54309,50173,45020,38803,34672,30579,28831,24600,21225,,,,,,
文化、体育和娱乐业其他单位就业人员平均工资(元),72093,65926,60288,51217,44958,37107,32898,29567,25384,22712,,,,,,
公共管理和社会组织其他单位就业人员平均工资(元),45462,38391,34486,28113,23891,21392,17849,21586,13994,11765,,,,,,
注：1995-2008年的城镇单位就业人员平均工资即为原来的城镇单位就业人员平均劳动报酬。
数据来源：国家统计局
