数据库：月度数据
时间：最近36个月
指标,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月,2016年12月,2016年11月,2016年10月,2016年9月,2016年8月,2016年7月,2016年6月,2016年5月,2016年4月,2016年3月,2016年2月,2016年1月,2015年12月,2015年11月,2015年10月,2015年9月,2015年8月,2015年7月,2015年6月,2015年5月,2015年4月,2015年3月,2015年2月,2015年1月,2014年12月,2014年11月,2014年10月,2014年9月,2014年8月
沿海规模以上港口货物吞吐量_当期值(万吨),72906,74415,72398,72816,64404,70803,,67678,68122,66741,68356,67781,68000,68768,67800,67096,59341,67573,,63126,63675,64264,66263,66444,67510,67015,65455,65080,57456,68101,,64220,64670,63346,65482
沿海规模以上港口货物吞吐量_累计值(万吨),430689,357505,282652,209099,136206,70803,808137,742601,674230,605426,537946,469259,400886,332233,262700,194302,127312,67573,783500,719992,656445,592793,527754,460534,393556,325132,256971,191419,126071,68101,768866,706247,641743,576942,513121
沿海规模以上港口货物吞吐量_同比增长(%),6.3,7.2,5.5,7.6,8.7,4.2,,6.9,6.3,3.9,2.0,0.6,0.0,1.2,1.8,2.9,2.8,-1.5,,-3.8,-2.4,0.6,-0.2,3.9,3.5,2.2,-2.8,-2.9,2.6,3.1,,6.0,4.6,3.0,5.4
沿海规模以上港口货物吞吐量_累计增长(%),7.3,7.4,7.3,7.3,7.1,4.2,3.0,3.1,2.6,2.1,1.8,1.7,1.7,1.9,1.8,1.5,0.8,-1.5,1.0,1.1,1.5,1.9,2.0,2.1,1.6,1.0,0.2,1.2,3.3,3.1,5.6,5.7,5.6,5.7,6.0
外贸货物吞吐量_当期值(万吨),29974,30505,29922,29702,25540,30427,,28293,27922,27769,28710,28707,28200,28096,27900,27177,24493,28605,,26002,26525,27049,27776,28129,27853,26509,26381,26384,24003,28523,,26027,26282,25992,27284
外贸货物吞吐量_累计值(万吨),178068,147690,117024,86339,56337,30427,337345,309893,281073,252920,224785,195787,166660,137759,108900,80534,53167,28605,324600,298016,271919,244793,217453,189033,160610,132608,105652,79227,52691,28523,320343,294833,268548,242088,216008
外贸货物吞吐量_同比增长(%),4.7,6.0,4.3,7.6,3.5,6.1,,8.0,4.9,0.4,2.3,-0.2,0.3,5.4,4.1,2.8,1.4,-0.3,,-2.0,-0.5,2.9,0.9,4.6,0.8,-2.8,-4.5,0.4,0.4,-4.4,,1.2,2.7,2.1,5.9
外贸货物吞吐量_累计增长(%),6.6,6.7,6.7,6.6,5.6,6.1,3.7,3.9,3.3,3.1,3.2,3.2,3.6,3.8,2.6,1.6,0.6,-0.3,0.7,0.5,0.7,0.6,0.2,-0.2,-1.2,-1.7,-1.8,-1.0,-1.9,-4.4,5.9,6.1,6.5,6.8,7.4
注：交通运输数据来源于交通运输部。
数据来源：国家统计局
